geo,time,value,unit
Iceland,2002,10,kg per capita
Iceland,2003,10,kg per capita
Iceland,2004,,kg per capita
Iceland,2005,,kg per capita
Iceland,2006,,kg per capita
Iceland,2007,,kg per capita
Iceland,2008,13,kg per capita
Iceland,2009,19,kg per capita
Iceland,2010,25,kg per capita
Iceland,2011,25,kg per capita
Iceland,2012,22,kg per capita
Iceland,2013,25,kg per capita
Iceland,2014,46,kg per capita
Iceland,2015,44,kg per capita
Iceland,2016,50,kg per capita
Iceland,2017,44,kg per capita
Iceland,2018,,kg per capita
Iceland,2019,,kg per capita
Norway,2000,53,kg per capita
Norway,2001,50,kg per capita
Norway,2002,55,kg per capita
Norway,2003,58,kg per capita
Norway,2004,48,kg per capita
Norway,2005,55,kg per capita
Norway,2006,62,kg per capita
Norway,2007,73,kg per capita
Norway,2008,72,kg per capita
Norway,2009,74,kg per capita
Norway,2010,73,kg per capita
Norway,2011,73,kg per capita
Norway,2012,66,kg per capita
Norway,2013,78,kg per capita
Norway,2014,68,kg per capita
Norway,2015,70,kg per capita
Norway,2016,77,kg per capita
Norway,2017,75,kg per capita
Norway,2018,72,kg per capita
Norway,2019,85,kg per capita
Switzerland,2000,89,kg per capita
Switzerland,2001,90,kg per capita
Switzerland,2002,100,kg per capita
Switzerland,2003,101,kg per capita
Switzerland,2004,101,kg per capita
Switzerland,2005,104,kg per capita
Switzerland,2006,118,kg per capita
Switzerland,2007,123,kg per capita
Switzerland,2008,122,kg per capita
Switzerland,2009,120,kg per capita
Switzerland,2010,119,kg per capita
Switzerland,2011,108,kg per capita
Switzerland,2012,106,kg per capita
Switzerland,2013,123,kg per capita
Switzerland,2014,153,kg per capita
Switzerland,2015,152,kg per capita
Switzerland,2016,155,kg per capita
Switzerland,2017,154,kg per capita
Switzerland,2018,153,kg per capita
Switzerland,2019,164,kg per capita
United Kingdom,2000,16,kg per capita
United Kingdom,2001,19,kg per capita
United Kingdom,2002,24,kg per capita
United Kingdom,2003,28,kg per capita
United Kingdom,2004,42,kg per capita
United Kingdom,2005,50,kg per capita
United Kingdom,2006,60,kg per capita
United Kingdom,2007,65,kg per capita
United Kingdom,2008,71,kg per capita
United Kingdom,2009,73,kg per capita
United Kingdom,2010,76,kg per capita
United Kingdom,2011,78,kg per capita
United Kingdom,2012,75,kg per capita
United Kingdom,2013,76,kg per capita
United Kingdom,2014,78,kg per capita
United Kingdom,2015,78,kg per capita
United Kingdom,2016,81,kg per capita
United Kingdom,2017,79,kg per capita
United Kingdom,2018,78,kg per capita
United Kingdom,2019,,kg per capita
Montenegro,2000,,kg per capita
Montenegro,2001,,kg per capita
Montenegro,2002,,kg per capita
Montenegro,2003,,kg per capita
Montenegro,2004,,kg per capita
Montenegro,2005,,kg per capita
Montenegro,2006,,kg per capita
Montenegro,2007,,kg per capita
Montenegro,2008,,kg per capita
Montenegro,2009,,kg per capita
Montenegro,2010,,kg per capita
Montenegro,2011,0,kg per capita
Montenegro,2012,0,kg per capita
Montenegro,2013,0,kg per capita
Montenegro,2014,0,kg per capita
Montenegro,2015,0,kg per capita
Montenegro,2016,,kg per capita
Montenegro,2017,1,kg per capita
Montenegro,2018,1,kg per capita
Montenegro,2019,,kg per capita
North Macedonia,2000,,kg per capita
North Macedonia,2001,,kg per capita
North Macedonia,2002,,kg per capita
North Macedonia,2003,,kg per capita
North Macedonia,2004,,kg per capita
North Macedonia,2005,,kg per capita
North Macedonia,2006,,kg per capita
North Macedonia,2007,,kg per capita
North Macedonia,2008,0,kg per capita
North Macedonia,2009,,kg per capita
North Macedonia,2010,,kg per capita
North Macedonia,2011,0,kg per capita
North Macedonia,2012,,kg per capita
North Macedonia,2013,,kg per capita
North Macedonia,2014,,kg per capita
North Macedonia,2015,,kg per capita
North Macedonia,2016,,kg per capita
North Macedonia,2017,,kg per capita
North Macedonia,2018,,kg per capita
North Macedonia,2019,,kg per capita
