Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2017,Estonia,EE,Value added at factor cost,V12150,Bioethanol,Bioeth,Million euros,0.16285074384096923
2017,Estonia,EE,Value added at factor cost,V12150,Fishing and Aquaculture,A03,Million euros,32.6
2017,Estonia,EE,Value added at factor cost,V12150,Food,C10,Million euros,327.3
2017,Estonia,EE,Value added at factor cost,V12150,"Food, beverage and tobacco",C10-12,Million euros,389.90000000000003
2017,Estonia,EE,Value added at factor cost,V12150,Forestry,A02,Million euros,249.2
2017,Estonia,EE,Value added at factor cost,V12150,Leather,bC15,Million euros,6.76980287443651
2017,Estonia,EE,Value added at factor cost,V12150,Liquid biofuels,bFUEL,Million euros,0.16285074384096923
2017,Estonia,EE,Value added at factor cost,V12150,Paper,bC17,Million euros,21.987500000000004
2017,Estonia,EE,Value added at factor cost,V12150,Rubber and bio-based plastics,bC22,Million euros,1.8462338955414823
2017,Estonia,EE,Value added at factor cost,V12150,Wood products,bC16,Million euros,505.32100141028894
2017,Estonia,EE,Value added at factor cost,V12150,Wood products and furniture,bC16-bC31,Million euros,616.5950163574993
2017,Estonia,EE,Value added at factor cost,V12150,Wooden furniture,bC31,Million euros,111.27401494721033
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Agriculture,A01,1000 EUR per person,20.328841307514878
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Beverage,C11,1000 EUR per person,93.32942980228377
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based chemicals (excluding biofuels),bchem,1000 EUR per person,115.57741147563686
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,1000 EUR per person,152.0296094677674
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based electricity,bD3511,1000 EUR per person,186.59476330208403
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based pharmaceuticals,bC21,1000 EUR per person,179.0348776391652
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based textile,bC13,1000 EUR per person,38.51196897616128
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based textiles,bTEXT,1000 EUR per person,30.455192757635164
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bio-based wearing apparel,bC14,1000 EUR per person,21.814985056944945
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Biodiesel,Biod,1000 EUR per person,129.2657558395769
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bioeconomy,bTOTC,1000 EUR per person,35.056955694058665
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Bioethanol,Bioeth,1000 EUR per person,197.26458369624314
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Fishing and Aquaculture,A03,1000 EUR per person,40.19986795510473
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Food,C10,1000 EUR per person,43.174921161324114
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,"Food, beverage and tobacco",C10-12,1000 EUR per person,48.94819245692139
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Forestry,A02,1000 EUR per person,48.89213109685399
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Leather,bC15,1000 EUR per person,36.44692697116773
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Liquid biofuels,bFUEL,1000 EUR per person,156.83530500529093
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Paper,bC17,1000 EUR per person,70.62621066336413
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Rubber and bio-based plastics,bC22,1000 EUR per person,77.0946657349424
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Tobacco,C12,1000 EUR per person,156.03319087528445
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Wood products,bC16,1000 EUR per person,34.644226708585585
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Wood products and furniture,bC16-bC31,1000 EUR per person,33.18112986935739
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Apparent labour productivity,V91110,Wooden furniture,bC31,1000 EUR per person,30.696950074721805
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Agriculture,A01,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Beverage,C11,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based chemicals (excluding biofuels),bchem,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based electricity,bD3511,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based pharmaceuticals,bC21,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based textile,bC13,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based textiles,bTEXT,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bio-based wearing apparel,bC14,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Biodiesel,Biod,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bioeconomy,bTOTC,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Bioethanol,Bioeth,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Fishing and Aquaculture,A03,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Food,C10,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,"Food, beverage and tobacco",C10-12,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Forestry,A02,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Leather,bC15,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Liquid biofuels,bFUEL,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Paper,bC17,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Rubber and bio-based plastics,bC22,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Tobacco,C12,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Wood products,bC16,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Wood products and furniture,bC16-bC31,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Location Quotient,LQ_EU,Wooden furniture,bC31,Ratio,1
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Agriculture,A01,Number of people employed,9273470
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Beverage,C11,Number of people employed,425256
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based chemicals (excluding biofuels),bchem,Number of people employed,83208.95532547719
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Number of people employed,396712.29950563976
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based electricity,bD3511,Number of people employed,22549.99532616633
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based pharmaceuticals,bC21,Number of people employed,260206.49040201565
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based textile,bC13,Number of people employed,195052.7305446883
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based textiles,bTEXT,Number of people employed,692905.7970912496
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bio-based wearing apparel,bC14,Number of people employed,311271.0178628459
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Biodiesel,Biod,Number of people employed,12192.226669991189
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bioeconomy,bTOTC,Number of people employed,17503991.621325318
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Bioethanol,Bioeth,Number of people employed,8314.127867264593
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Fishing and Aquaculture,A03,Number of people employed,166610
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Food,C10,Number of people employed,3937471
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,"Food, beverage and tobacco",C10-12,Number of people employed,4398761
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Forestry,A02,Number of people employed,517480
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Leather,bC15,Number of people employed,186582.04868371546
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Liquid biofuels,bFUEL,Number of people employed,20506.354537255782
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Paper,bC17,Number of people employed,590456.25
2017,"European Union (27 countries, from 01/02/2020) ",EU27,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,53296.85377814693
